"Date","Price","Open","High","Low","Vol.","Change %"
"04/27/2022","1.2548","1.2575","1.2603","1.2501","","-0.19%"
"04/26/2022","1.2572","1.2742","1.2774","1.2570","","-1.32%"
"04/25/2022","1.2740","1.2861","1.2862","1.2696","","-0.76%"
"04/22/2022","1.2837","1.3032","1.3037","1.2822","","-1.47%"
"04/21/2022","1.3028","1.3068","1.3091","1.3022","","-0.29%"
"04/20/2022","1.3066","1.2998","1.3072","1.2992","","0.54%"
"04/19/2022","1.2996","1.3017","1.3042","1.2979","","-0.09%"
"04/18/2022","1.3008","1.3060","1.3066","1.3004","","-0.38%"
"04/15/2022","1.3058","1.3067","1.3081","1.3047","","-0.05%"
"04/14/2022","1.3065","1.3116","1.3149","1.3032","","-0.38%"
"04/13/2022","1.3115","1.2998","1.3119","1.2972","","0.91%"
"04/12/2022","1.2997","1.3032","1.3054","1.2994","","-0.25%"
"04/11/2022","1.3029","1.3043","1.3058","1.2989","","-0.02%"
"04/08/2022","1.3031","1.3077","1.3087","1.2981","","-0.32%"
"04/07/2022","1.3073","1.3069","1.3108","1.3051","","0.04%"
"04/06/2022","1.3068","1.3083","1.3110","1.3044","","0.00%"
"04/05/2022","1.3068","1.3115","1.3168","1.3066","","-0.34%"
"04/04/2022","1.3113","1.3114","1.3139","1.3092","","0.01%"
"04/01/2022","1.3112","1.3136","1.3154","1.3085","","-0.16%"
"03/31/2022","1.3133","1.3132","1.3177","1.3105","","0.02%"
"03/30/2022","1.3131","1.3092","1.3184","1.3083","","0.36%"
"03/29/2022","1.3084","1.3086","1.3161","1.3050","","0.00%"
"03/28/2022","1.3084","1.3190","1.3191","1.3067","","-0.79%"
"03/25/2022","1.3188","1.3195","1.3226","1.3159","","0.04%"
"03/24/2022","1.3183","1.3205","1.3216","1.3156","","-0.15%"
"03/23/2022","1.3203","1.3264","1.3300","1.3174","","-0.45%"
"03/22/2022","1.3263","1.3170","1.3275","1.3119","","0.74%"
"03/21/2022","1.3165","1.3182","1.3211","1.3125","","-0.11%"
"03/18/2022","1.3180","1.3149","1.3198","1.3110","","0.26%"
"03/17/2022","1.3146","1.3150","1.3213","1.3087","","0.01%"
"03/16/2022","1.3145","1.3042","1.3164","1.3031","","0.82%"
"03/15/2022","1.3038","1.3002","1.3090","1.2999","","0.29%"
"03/14/2022","1.3000","1.3038","1.3081","1.3000","","-0.28%"
"03/11/2022","1.3036","1.3087","1.3127","1.3026","","-0.36%"
"03/10/2022","1.3083","1.3176","1.3196","1.3080","","-0.73%"
"03/09/2022","1.3179","1.3103","1.3191","1.3087","","0.58%"
"03/08/2022","1.3103","1.3104","1.3146","1.3081","","0.01%"
"03/07/2022","1.3102","1.3227","1.3252","1.3101","","-0.93%"
