,neg_pos_volume_summary,candle_LZ,cumsum,cumsum_%_50_000,cumsum_%_TrueFalse
2023-01-02 20:00:00,neg,-2190.363379196044,-3151738.383400542,48261.616599457804,False
2023-01-02 20:15:00,neg,-1089.4139015017342,-3152827.797302044,47172.202697956,False
2023-01-02 21:15:00,neg,-487.70367188432266,-3153315.5009739283,46684.499026071746,False
2023-01-02 21:30:00,neg,-2286.3047735270225,-3155601.8057474555,44398.19425254455,False
2023-01-02 21:45:00,neg,-2894.80736211566,-3158496.613109571,41503.38689042907,False
2023-01-02 22:00:00,neg,-943.5973039540825,-3159440.210413525,40559.78958647512,False
2023-01-02 22:15:00,neg,-2023.9581375320804,-3161464.168551057,38535.83144894289,False
2023-01-02 22:30:00,neg,-3649.6072373687084,-3165113.775788426,34886.22421157407,False
2023-01-02 22:45:00,neg,-1728.9132759721056,-3166842.689064398,33157.31093560206,False
2023-01-02 23:00:00,neg,-610.4409713652232,-3167453.130035763,32546.86996423686,False
2023-01-02 23:15:00,neg,-485.92565077966856,-3167939.0556865428,32060.944313457236,False
2023-01-03 12:15:00,neg,-8927.140783256287,-3176866.196469799,23133.80353020085,False
2023-01-03 13:30:00,neg,-3677.4980100039847,-3180543.694479803,19456.30552019691,False
2023-01-03 13:45:00,neg,-10603.183914066947,-3191146.87839387,8853.121606130153,False
2023-01-03 14:00:00,neg,-23029.667675794743,-3214176.5460696644,35823.453930335585,False
2023-01-03 14:15:00,neg,-39147.22577876943,-3253323.7718484337,46676.22815156635,False
2023-01-03 14:30:00,neg,-51137.87986302801,-3304461.6517114616,45538.3482885384,False
2023-01-03 14:45:00,neg,-28074.37358497924,-3332536.025296441,17463.974703559186,False
2023-01-03 15:00:00,neg,-31004.889430198396,-3363540.914726639,36459.08527336083,False
2023-01-03 15:15:00,neg,-37787.853162480904,-3401328.76788912,48671.23211087985,False
2023-01-03 15:30:00,neg,-16487.090400921057,-3417815.8582900413,32184.14170995867,False
2023-01-03 16:00:00,neg,-6417.772815327576,-3424233.631105369,25766.368894631043,False
2023-01-03 16:15:00,neg,-19150.030169391594,-3443383.6612747605,6616.338725239504,True
2023-01-03 19:15:00,neg,-1318.2636648022817,-3444701.9249395626,5298.075060437433,True
2023-01-04 00:00:00,neg,-1584.8461245290105,-3446286.7710640915,3713.228935908526,True
