<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
231026;071500;1.2080000;1.2083000;1.2079000;1.2081000;9990
231026;073000;1.2082000;1.2083000;1.2078000;1.2081000;8972
231026;074500;1.2082000;1.2082000;1.2079000;1.2080000;7508
231026;080000;1.2080000;1.2083000;1.2078000;1.2080000;9427
231026;081500;1.2079000;1.2086000;1.2078000;1.2083000;11070
231026;083000;1.2082000;1.2085000;1.2075000;1.2077000;10441
231026;084500;1.2077000;1.2088000;1.2076000;1.2083000;10452
231026;090000;1.2083000;1.2087000;1.2077000;1.2079000;13060
231026;091500;1.2080000;1.2082000;1.2073000;1.2076000;24092
231026;093000;1.2076000;1.2084000;1.2072000;1.2082000;19662
231026;094500;1.2082000;1.2082000;1.2069000;1.2074000;22416
231026;100000;1.2074000;1.2087000;1.2073000;1.2076000;29891
231026;101500;1.2076000;1.2087000;1.2074000;1.2087000;29138
231026;103000;1.2086000;1.2093000;1.2081000;1.2088000;24947
231026;104500;1.2088000;1.2090000;1.2081000;1.2085000;23335
231026;110000;1.2085000;1.2092000;1.2082000;1.2089000;21812
231026;111500;1.2089000;1.2095000;1.2086000;1.2089000;22037
231026;113000;1.2089000;1.2096000;1.2083000;1.2085000;18246
231026;114500;1.2085000;1.2089000;1.2081000;1.2085000;17245
231026;120000;1.2084000;1.2088000;1.2077000;1.2079000;17543
231026;121500;1.2079000;1.2082000;1.2074000;1.2078000;17315
231026;123000;1.2077000;1.2094000;1.2076000;1.2092000;19064
231026;124500;1.2092000;1.2094000;1.2086000;1.2088000;18596
231026;130000;1.2089000;1.2093000;1.2087000;1.2088000;15866
231026;131500;1.2088000;1.2092000;1.2086000;1.2087000;15489
231026;133000;1.2086000;1.2091000;1.2085000;1.2088000;14699
231026;134500;1.2088000;1.2092000;1.2077000;1.2079000;18600
231026;140000;1.2079000;1.2081000;1.2073000;1.2074000;15425
231026;141500;1.2075000;1.2085000;1.2074000;1.2081000;16839
231026;143000;1.2080000;1.2086000;1.2079000;1.2086000;17555
231026;144500;1.2085000;1.2087000;1.2078000;1.2082000;17601
231026;150000;1.2082000;1.2089000;1.2079000;1.2085000;17721
231026;151500;1.2086000;1.2092000;1.2085000;1.2088000;18335
231026;153000;1.2088000;1.2096000;1.2082000;1.2092000;37031
231026;154500;1.2092000;1.2113000;1.2076000;1.2106000;66737
231026;160000;1.2106000;1.2125000;1.2100000;1.2124000;52118
